mit	mit_count	harvard	harvard_count	rensselaer	rensselaer_count	penn	penn_count	maryland	maryland_count	rice	rice_count	ill	ill_count	utt	utt_count	columbia	columbia_count	purdue	purdue_count	ucsd	ucsd_count	brown	brown_count	unc	unc_count	cal	cal_count	usc	usc_count	princeton	princeton_count	carnegie	carnegie_count	ucla	ucla_count	uw	uw_count	stanford	stanford_count	cp	cp_count	umass	umass_count	gt	gt_count	harveymudd	harveymudd_count	umich	umich_count	vt	vt_count	cornell	cornell_count	caltech	caltech_count	waterloo	waterloo_count
Cajun/Creole	969.0	Cajun/Creole	969.0	Mediterranean	43.0	Buffets	199.0	Vegan	101.0	Asian Fusion	179.0	Basque	109.0	Indian	505.0	Bagels	387.0	Korean	49.0	Steakhouses	366.0	Tex-Mex	125.0	Hot Dogs	129.0	Soup	849.0	Wine Bars	541.0	Breweries	217.0	Hot Dogs	89.0	Thai	357.0	Indian	224.0	Bakeries	589.8	American (Traditional)	498.333333333	Barbeque	67.0	Modern European	371.0	Tapas Bars	433.0	Caterers	187.0	Vegetarian	67.0	Bagels	109.0	Hot Dogs	879.0	Pubs	12.0
Tex-Mex	969.0	Tex-Mex	969.0	Sushi Bars	41.0	Tex-Mex	171.0	Breweries	100.0	Food Stands	179.0	Spanish	109.0	Diners	271.0	Thai	285.0	French	39.0	Wine Bars	343.0	Cajun/Creole	125.0	Breweries	73.0	Vegan	451.0	Peruvian	379.0	Wine Bars	173.0	Tapas Bars	87.0	Wine Bars	351.0	Pubs	201.0	Desserts	497.0	Barbeque	432.333333333	American (Traditional)	57.6666666667	Soul Food	228.0	Basque	433.0	Delis	153.0	Vegan	67.0	Tapas Bars	101.0	Mediterranean	567.0	Canadian (New)	11.0
Southern	675.0	Southern	675.0	Lounges	32.0	Gastropubs	156.0	Delis	69.0	Korean	179.0	Sushi Bars	97.0	Bars	226.333333333	Southern	223.0	Bistros	39.0	Russian	209.0	Ethiopian	117.0	Breakfast & Brunch	68.5555555556	Burgers	278.0	Breakfast & Brunch	229.0	Pubs	84.0	Vegetarian	79.6666666667	Lounges	293.0	German	153.0	Gluten-Free	497.0	Diners	151.0	Mexican	57.6666666667	Italian	207.8	Spanish	433.0	Breweries	152.0	Barbeque	35.0	Vegetarian	64.0	Greek	567.0	American (Traditional)	9.0
Desserts	339.0	Desserts	339.0	Hot Dogs	29.0	Pubs	143.0	Bagels	69.0	Lounges	154.0	Barbeque	86.3333333333	Tex-Mex	209.333333333	Cuban	219.0	Irish	38.0	Seafood	209.0	Tapas/Small Plates	113.0	Southern	65.0	Thai	275.666666667	Caterers	199.0	Gluten-Free	73.0	Japanese	73.0	Korean	276.0	Greek	119.5	Butcher	193.0	Breakfast & Brunch	151.0	French	57.0	Buffets	201.0	Bars	189.0	Barbeque	129.0	Greek	33.0	Sandwiches	53.5	Asian Fusion	479.0	Sushi Bars	9.0
Burgers	299.666666667	Burgers	299.666666667	Mexican	29.0	Bars	136.5	Ethiopian	69.0	Indian	153.0	Asian Fusion	63.6666666667	British	195.0	Creperies	203.0	Pubs	38.0	Bars	184.0	Cafes	113.0	Asian Fusion	62.5	American (New)	257.0	Italian	135.8	Ice Cream & Frozen Yogurt	69.6666666667	Korean	70.5	Bars	275.666666667	Middle Eastern	119.0	Seafood Markets	193.0	Mediterranean	144.5	Asian Fusion	44.0	Breweries	162.0	Afghan	187.0	Pubs	120.2	Mediterranean	27.0	Steakhouses	51.0	Thai	413.0	Bakeries	8.0
French	276.333333333	French	276.333333333	Indian	28.2	Asian Fusion	119.0	Halal	61.0	Breakfast & Brunch	151.666666667	Breakfast & Brunch	60.0	Brazilian	195.0	German	161.0	Tapas Bars	25.0	Pizza	154.333333333	Greek	87.0	Bakeries	61.0	Vegetarian	229.0	Bars	129.4	Bars	67.0	French	63.0	Breweries	249.0	American (New)	116.0	Food	155.916666667	Seafood	118.5	Breakfast & Brunch	40.0	Seafood	161.0	Fondue	183.0	Breakfast & Brunch	108.5	Delis	23.0	Meat Shops	47.0	American (New)	385.666666667	Bars	7.8
Irish	248.0	Irish	248.0	Middle Eastern	27.0	Mexican	114.714285714	Diners	54.0	Chocolatiers and Shops	141.0	Cajun/Creole	58.0	Pubs	195.0	Bakeries	151.0	Sushi Bars	25.0	Japanese	132.0	Burgers	85.0	Vegetarian	59.0	Korean	213.666666667	Indian	112.333333333	Sports Bars	51.0	Breakfast & Brunch	57.5	Asian Fusion	240.0	Mediterranean	115.0	Indian	155.0	Thai	108.0	Coffee & Tea	36.3333333333	Latin American	153.0	Thai	171.0	American (New)	94.4285714286	Indian	21.0	Burgers	45.0	Bakeries	383.0	Thai	7.0
Breweries	243.666666667	Breweries	243.666666667	Vegan	27.0	Mediterranean	106.0	Indian	53.4	Basque	124.0	Lounges	57.0	Breakfast & Brunch	168.0	Soul Food	130.0	Diners	21.0	Sushi Bars	132.0	Creperies	81.0	Burgers	57.6666666667	Sushi Bars	186.333333333	Food Delivery Services	89.0	American (New)	50.7777777778	Thai	47.8	Pizza	185.8	Chocolatiers and Shops	109.0	American (New)	134.454545455	Lounges	102.0	Ethnic Food	34.0	Asian Fusion	144.0	Lounges	167.0	Seafood	91.0	Sushi Bars	18.0	Lounges	45.0	Lounges	355.0	Mediterranean	7.0
Juice Bars & Smoothies	243.0	Juice Bars & Smoothies	243.0	Desserts	27.0	Thai	95.5	Pubs	53.0	Tapas Bars	124.0	Gelato	47.0	Cafes	118.0	Diners	114.5	Middle Eastern	21.0	Thai	127.0	Indian	73.0	Indian	55.0	Bakeries	177.0	Vegan	89.0	Steakhouses	48.3333333333	Chinese	43.25	Sports Bars	183.0	Candy Stores	109.0	Vietnamese	131.0	American (New)	100.25	Caterers	33.0	Pizza	136.0	Burgers	163.666666667	American (Traditional)	86.0	Steakhouses	17.0	Thai	44.0	Beer, Wine & Spirits	343.0	Turkish	7.0
African	219.0	African	219.0	Japanese	26.5	Greek	81.0	Sports Bars	48.0	Spanish	124.0	Creperies	47.0	Vegan	107.0	Burgers	107.0	Japanese	20.5	Delis	121.666666667	Pubs	69.0	American (New)	53.6666666667	Sports Bars	173.0	Cheesesteaks	85.0	Bakeries	44.6	Creperies	43.0	Bakeries	173.0	Vegan	107.0	Sandwiches	122.0	Tapas/Small Plates	99.0	Pizza	32.5	Burgers	132.0	Italian	143.0	Irish	83.0	Japanese	15.0	Breakfast & Brunch	43.0	Korean	335.0	Desserts	6.6
